surface,global_order,mode,mode_round,sample,ns
state-update,25,off,3,2,58700036.9375
state-update,25,off,3,3,59983936.5
state-update,25,off,3,4,53990260.0
state-update,25,off,3,5,66355248.0625
state-update,25,off,3,6,57923785.0625
state-update,25,off,3,7,62206855.75
state-update,26,on,3,1,60238005.375
state-update,26,on,3,2,65096540.375
state-update,26,on,3,3,55214569.625
state-update,26,on,3,4,56855350.8125
state-update,26,on,3,5,50819472.0625
state-update,26,on,3,6,51562482.75
state-update,26,on,3,7,52919623.25
state-update,27,off,4,1,60012980.3125
state-update,27,off,4,2,53675048.6875
state-update,27,off,4,3,53257748.375
state-update,27,off,4,4,78089971.0625
state-update,27,off,4,5,55507753.25
state-update,27,off,4,6,54800292.375
state-update,27,off,4,7,58643655.625
state-update,28,on,4,1,56396024.5
state-update,28,on,4,2,56018037.8125
state-update,28,on,4,3,61564710.25
state-update,28,on,4,4,59265748.375
state-update,28,on,4,5,61084633.875
state-update,28,on,4,6,53998404.8125
state-update,28,on,4,7,57070804.25
state-update,29,off,5,1,56279997.6875
state-update,29,off,5,2,59951321.0625
state-update,29,off,5,3,57669821.25
state-update,29,off,5,4,61676231.9375
state-update,29,off,5,5,54529402.0
state-update,29,off,5,6,68329675.125
state-update,29,off,5,7,63994979.4375
state-update,30,on,5,1,61623138.1875
state-update,30,on,5,2,55392455.875
state-update,30,on,5,3,75559525.1875
state-update,30,on,5,4,64507515.25
state-update,30,on,5,5,54895790.375
state-update,30,on,5,6,54510636.1875
state-update,30,on,5,7,62149944.25
witness,31,on,1,1,82518419.875
witness,31,on,1,2,78426877.0
witness,31,on,1,3,77939912.625
witness,31,on,1,4,116358631.375
witness,31,on,1,5,77083541.0
witness,31,on,1,6,84170166.625
witness,31,on,1,7,72261869.0
witness,32,off,1,1,101906567.25
witness,32,off,1,2,75580547.25
witness,32,off,1,3,86288650.875
witness,32,off,1,4,82066575.875
witness,32,off,1,5,93295770.75
witness,32,off,1,6,73215929.625
witness,32,off,1,7,94904193.5
witness,33,on,2,1,80282067.0
witness,33,on,2,2,87508523.375
